TIPO ITS	TIPO EQUIPO	EQUIPO
STS	CCTV	CAMARA IP - INTERIOR 1 - FRONTAL
STS	CCTV	CAMARA IP - INTERIOR 2 - TRASERA
STS	CCTV	CAMARA IP - INTERIOR 3 - CENTRAL
STS	CAMARA CONDUCTOR	CAMARA CONDUCTOR
STS	SENSORES DEL MOTOR Y CONDUCCION DEL VEHICULO	ACELERACION
STS	SENSORES DE LA CABINA DEL VEHICULO	PESO
STS	SENSORES DEL MOTOR Y CONDUCCION DEL VEHICULO	FRENOS
STS	SENSORES DEL MOTOR Y CONDUCCION DEL VEHICULO	TEMPERATURA DE MOTOR O DE BATERIAS
STS	SENSORES DEL MOTOR Y CONDUCCION DEL VEHICULO	VELOCIDAD
STS	SENSORES DEL MOTOR Y CONDUCCION DEL VEHICULO	KILOMETRAJE
STS	SENSORES DE LA CABINA DEL VEHICULO	REVERSA
STS	SENSORES DEL MOTOR Y CONDUCCION DEL VEHICULO	COMBUSTIBLE O NIVEL DE CARGA
STS	SENSORES DE LA CABINA DEL VEHICULO	CINTURON DE SEGURIDAD
STS	CAMARA FRONTAL Y CAMARA TRASERA	CAMARA TRASERA
STS	CAMARA FRONTAL Y CAMARA TRASERA	CAMARA FRONTAL
STS	SENSOR DE CONTEO DE PASAJEROS	CONTADOR DE PASAJEROS - APC
STS	SENSORES DE LA APERTURA  Y CIERRE DE PUERTAS	CIERRE Y APERTURA DE PUERTAS
STS	BOTON DE PANICO	BOTON PANICO
STS	DISPOSITIVO CENTRAL	NVR
STS	DISPOSITIVO CENTRAL	UNIDAD INTERFAZ
STDI	SISTEMA STDI	PUERTO USB
STS	DISPOSITIVO CENTRAL	ANTENAS LTE
STDI	SISTEMA STDI	ANTENA WIFI
STS	DISPOSITIVO CENTRAL	ANTENA GPS
STS	DISPOSITIVO CENTRAL	INTERFAZ CAN
STS	DISPOSITIVO CENTRAL	GABINETE
STS	DISPOSITIVO CENTRAL	BATERIAS RESPALDO
STDI	SISTEMA STDI	RUTERO FRONTAL
STDI	SISTEMA STDI	RUTERO LATERAL
STDI	SISTEMA STDI	RUTERO POSTERIOR
STDI	SISTEMA STDI	PANEL DE INFORMACION (PIP)
STDI	SISTEMA STDI	MICROFONO AMBIENTE
STDI	SISTEMA STDI	RADIO
STDI	SISTEMA STDI	AMPLIFICADOR
STDI	SISTEMA STDI	COMPUTADOR ABORDO
STS	DISPOSITIVO CENTRAL	MONITOR DEL CONDUCTOR
STS	SENSORES DE LA CABINA DEL VEHICULO	CAMARA DE REVERSA
STDI	SISTEMA STDI	ROUTER
STDI	SISTEMA STDI	CONTROLADOR RUTERO
STS	DISPOSITIVO CENTRAL	FIRMWARE STS
STDI	SISTEMA STDI	FIRMWARE STDI
STS	DISPOSITIVO CENTRAL	CONECTIVIDAD LTE
STDI	SISTEMA STDI	CONECTIVIDAD WIFI O INTERNET
STS	DISPOSITIVO CENTRAL	CABLEADO Y CONECTORES
STDI	SISTEMA STDI	CABLEADO Y CONECTORES
STDI	CODIFICADOR DE VIDEO	OBC
STS	SWITCH ETHERNET	SWITCH ETHERNET
STS	CODIFICADOR DE VIDEO	CODIFICADOR DE VIDEO
STS	CONTADOR DE PASAJEROS	APC - PUERTA 1
STS	CONTADOR DE PASAJEROS	APC - PUERTA 2
STS	PCB	TARJETA PCB
STS	CONTADOR DE PASAJEROS	APC - PUERTA 3
STDI	CODIFICADOR DE VIDEO	CODIFICADOR DE VIDEO
STS	ANTENA CONECTIVIDAD CDEG	ANTENA CDEG
STDI	PARLANTES	PARLANTES
STDI	CONTROLADOR CENTRAL	CONTROLADOR CENTRAL
STS	SENSOR PESO TOTAL	SENSOR PESO TOTAL
STDI	DISPOSITIVO CENTRAL	BATERIAS RESPALDO
